site,date,doy,replicate,0,0.5,1,1.5,2,2.5,3,3.5,4,5.0,6,notes
EC_1163,,,avg,160.75,35.35,12.37,2.90,0.82,,,,,,,
Causeway,,,avg,762.75,141.75,32.50,,,,,,,,,
Bells,,,avg,,,,,,,,,,,,
Muddy_Creek,08/26/2025,238,1,1534.00,36.50,1.44,,,,,,,,,
Muddy_Creek,08/26/2025,238,2,875.00,40.50,1.16,,,,,,,,,
ODNR_4,08/26/2025,238,1,1600.00,32.20,19.53,1.90,,,,,,,,
ODNR_4,08/26/2025,238,2,1200.00,38.10,21.70,1.50,,,,,,,,
ODNR_6,08/26/2025,238,1,1850.00,128.00,35.91,5.60,0.92,,,,,,,
ODNR_6,08/26/2025,238,2,1131.70,196.60,32.86,4.80,0.80,,,,,,,
ODNR_2,08/26/2025,238,1,2278.00,271.00,30.05,5.04,1.95,,,,,,,
ODNR_2,08/26/2025,238,2,1249.00,192.00,43.21,12.10,1.88,,,,,,,
Buoy_2,08/26/2025,238,1,1303.00,414.00,55.60,13.76,5.07,0.86,,,,,,
Buoy_2,08/26/2025,238,2,1729.00,391.00,86.60,17.70,3.43,1.05,,,,,,
ODNR_1,08/26/2025,238,1,1858.00,423.00,77.80,20.01,4.86,1.57,0.73,,,,,
ODNR_1,08/26/2025,238,2,2199.00,464.00,115.49,19.78,5.31,1.88,0.50,,,,,
EC_1163,08/26/2025,238,1,338.00,112.00,47.56,59.60,47.20,15.10,9.25,,,,,
EC_1163,08/26/2025,238,2,2417.00,951.00,434.00,112.40,67.90,29.37,8.81,,,,,
Causeway,08/26/2025,238,1,2101.00,302.00,60.02,,,,,,,,,
Causeway,08/26/2025,238,2,1673.30,216.60,57.74,,,,,,,,,
Bells,08/26/2025,238,1,,,,,,,,,,,,
Bells,08/26/2025,238,2,,,,,,,,,,,,
Muddy_Creek,,,avg,1204.50,38.50,1.30,,,,,,,,,
ODNR_4,,,avg,1400.00,35.15,20.62,1.70,,,,,,,,
ODNR_6,,,avg,1490.85,162.30,34.39,5.20,0.86,,,,,,,
ODNR_2,,,avg,1763.50,231.50,36.63,8.57,1.92,,,,,,,
Buoy_2,,,avg,1516.00,402.50,71.10,15.73,4.25,0.96,,,,,,
ODNR_1,,,avg,2028.50,443.50,96.65,19.90,5.09,1.73,0.62,,,,,
EC_1163,,,avg,1377.50,531.50,240.78,86.00,57.55,22.24,9.03,,,,,
Causeway,,,avg,1887.15,259.30,58.88,,,,,,,,,
Bells,,,avg,,,,,,,,,,,,
Muddy_Creek,09/02/2025,245,1,654.00,79.20,4.66,,,,,,,,,
Muddy_Creek,09/02/2025,245,2,1085.00,87.80,6.88,,,,,,,,,
ODNR_4,09/02/2025,245,1,1154.00,111.40,36.90,6.80,,,,,,,,
ODNR_4,09/02/2025,245,2,1054.00,192.50,39.10,8.80,,,,,,,,
ODNR_6,09/02/2025,245,1,910.70,181.30,56.20,15.20,5.48,,,,,,,
ODNR_6,09/02/2025,245,2,521.20,218.90,52.90,17.40,5.52,,,,,,,
ODNR_2,09/02/2025,245,1,1355.40,294.80,91.70,36.20,11.71,2.76,,,,,,
ODNR_2,09/02/2025,245,2,954.90,276.10,90.80,35.50,12.80,2.11,,,,,,
Buoy_2,09/02/2025,245,1,1001.90,222.70,94.10,31.20,15.00,5.33,,,,,,
Buoy_2,09/02/2025,245,2,1054.80,282.90,98.60,30.70,11.90,4.62,,,,,,
ODNR_1,09/02/2025,245,1,1774.40,345.10,162.80,58.70,24.90,9.20,4.60,,,,,
ODNR_1,09/02/2025,245,2,1091.90,140.70,98.40,51.90,26.10,10.10,5.10,,,,,
EC_1163,09/02/2025,245,1,2369.00,640.00,310.00,90.90,51.80,21.20,9.40,,,,,
EC_1163,09/02/2025,245,2,1536.00,454.00,257.00,116.00,36.40,15.70,8.80,,,,,
Causeway,09/02/2025,245,1,2497.00,670.00,158.00,,,,,,,,,
Causeway,09/02/2025,245,2,2311.00,341.00,172.00,,,,,,,,,
Bells,09/02/2025,245,1,1234.00,870.00,194.00,145.00,139.00,80.10,45.13,34.50,16.20,11.10,6.40,7.8
Bells,09/02/2025,245,2,1479.00,997.00,212.00,186.00,158.00,96.70,57.80,,,17.70,11.40,9.4
Muddy_Creek,,,avg,869.50,83.50,5.77,,,,,,,,,
ODNR_4,,,avg,1104.00,151.95,38.00,7.80,,,,,,,,
ODNR_6,,,avg,715.95,200.10,54.55,16.30,5.50,,,,,,,
ODNR_2,,,avg,1155.15,285.45,91.25,35.85,12.26,2.44,,,,,,
Buoy_2,,,avg,1028.35,252.80,96.35,30.95,13.45,4.98,,,,,,
ODNR_1,,,avg,1433.15,242.90,130.60,55.30,25.50,9.65,4.85,,,,,
EC_1163,,,avg,1952.50,547.00,283.50,103.45,44.10,18.45,9.10,,,,,
Causeway,,,avg,2404.00,505.50,165.00,,,,,,,,,
Bells,,,avg,1356.50,933.50,203.00,165.50,148.50,88.40,51.47,34.50,16.20,14.40,8.90,
