 ,site,rep,vol_filtered,date_extracted,vol_extracted,chl_concentration,dilution_factor,fInal_chl,average,notes
08/20/2025,Causeway,1,10,08/22/2025,10,125.58,0,125.58,126.55,
08/20/2025,Causeway,2,10,08/22/2025,10,123.72,0,123.72,,
08/20/2025,Causeway,3,10,08/22/2025,10,130.36,0,130.36,,
08/20/2025,Bells,1,10,08/22/2025,10,N/A,0,,N/A,
08/20/2025,Bells,2,10,08/22/2025,10,N/A,0,,,
08/20/2025,Bells,3,10,08/22/2025,10,N/A,0,,,
08/26/2025,Muddy Creek,1,10,09/05/2025,10,153.8,0,153.80,153.56,
08/26/2025,Muddy Creek,2,10,09/05/2025,10,141.12,0,141.12,,
08/26/2025,Muddy Creek,3,10,09/05/2025,10,165.75,0,165.75,,
08/26/2025,ODNR_4,1,10,09/05/2025,10,147.02,0,147.02,140.34,
08/26/2025,ODNR_4,2,10,09/05/2025,10,153.36,0,153.36,,
08/26/2025,ODNR_4,3,10,09/05/2025,10,120.63,0,120.63,,
08/26/2025,ODNR_6,1,10,09/05/2025,10,161.65,0,161.65,164.81,
08/26/2025,ODNR_6,2,10,09/05/2025,10,165.13,0,165.13,,
08/26/2025,ODNR_6,3,10,09/05/2025,10,167.64,0,167.64,,
08/26/2025,Bridge,1,10,09/05/2025,10,163.9,0,163.90,143.02,
08/26/2025,Bridge,2,10,09/05/2025,10,162.01,0,162.01,,
08/26/2025,Bridge,3,10,09/05/2025,10,103.14,0,103.14,,
08/26/2025,ODNR_2,1,10,09/05/2025,10,135.29,0,135.29,132.93,
08/26/2025,ODNR_2,2,10,09/05/2025,10,136.92,0,136.92,,
08/26/2025,ODNR_2,3,10,09/05/2025,10,126.59,0,126.59,,
08/26/2025,Buoy_2,1,10,09/05/2025,10,122.31,0,122.31,123.60,
08/26/2025,Buoy_2,2,10,09/05/2025,10,125.84,0,125.84,,
08/26/2025,Buoy_2,3,10,09/05/2025,10,122.65,0,122.65,,
08/26/2025,ODNR_1,1,10,09/05/2025,10,100.8,0,100.80,100.43,
08/26/2025,ODNR_1,2,10,09/05/2025,10,104.69,0,104.69,,
08/26/2025,ODNR_1,3,10,09/05/2025,10,95.81,0,95.81,,
08/26/2025,EC_1163,1,10,09/05/2025,10,50.35,0,50.35,48.49,
08/26/2025,EC_1163,2,10,09/05/2025,10,45.05,0,45.05,,
08/26/2025,EC_1163,3,10,09/05/2025,10,50.07,0,50.07,,
08/26/2025,Causeway,1,10,09/05/2025,10,82.95,0,82.95,92.71,
08/26/2025,Causeway,2,10,09/05/2025,10,104.04,0,104.04,,
08/26/2025,Causeway,3,10,09/05/2025,10,91.15,0,91.15,,
08/26/2025,Bells,1,10,09/05/2025,10,N/A,0,N/A,N/A,
08/26/2025,Bells,2,10,09/05/2025,10,N/A,0,N/A,,
08/26/2025,Bells,3,10,09/05/2025,10,N/A,0,N/A,,
09/02/2025,Muddy Creek,1,10,09/10/2025,10,59.98,0,59.98,41.51,
09/02/2025,Muddy Creek,2,10,09/10/2025,10,62.31,0,62.31,,
09/02/2025,Muddy Creek,3,10,09/10/2025,10,2.25,0,2.25,,
09/02/2025,ODNR_4,1,10,09/10/2025,10,0.55,0,0.55,44.29,
09/02/2025,ODNR_4,2,10,09/10/2025,10,64.9,0,64.90,,
09/02/2025,ODNR_4,3,10,09/10/2025,10,67.41,0,67.41,,
09/02/2025,ODNR_6,1,10,09/10/2025,10,60,0,60.00,41.58,
09/02/2025,ODNR_6,2,10,09/10/2025,10,63.95,0,63.95,,
09/02/2025,ODNR_6,3,10,09/10/2025,10,0.78,0,0.78,,
09/02/2025,Bridge,1,10,09/10/2025,10,61.57,0,61.57,44.28,
09/02/2025,Bridge,2,10,09/10/2025,10,2.24,0,2.24,,
09/02/2025,Bridge,3,10,09/10/2025,10,69.02,0,69.02,,
09/02/2025,ODNR_2,1,10,09/10/2025,10,77.6,0,77.60,78.72,
09/02/2025,ODNR_2,2,10,09/10/2025,10,84.74,0,84.74,,
09/02/2025,ODNR_2,3,10,09/10/2025,10,73.82,0,73.82,,
09/02/2025,Buoy_2,1,10,09/10/2025,10,61.43,0,61.43,59.24,
09/02/2025,Buoy_2,2,10,09/10/2025,10,63.59,0,63.59,,
09/02/2025,Buoy_2,3,10,09/10/2025,10,52.7,0,52.70,,
09/02/2025,ODNR_1,1,10,09/10/2025,10,51.56,0,51.56,49.82,
09/02/2025,ODNR_1,2,10,09/10/2025,10,50.67,0,50.67,,
09/02/2025,ODNR_1,3,10,09/10/2025,10,47.22,0,47.22,,
09/02/2025,EC_1163,1,10,09/10/2025,10,42.77,0,42.77,52.64,
09/02/2025,EC_1163,2,10,09/10/2025,10,56.59,0,56.59,,
09/02/2025,EC_1163,3,10,09/10/2025,10,58.57,0,58.57,,
09/02/2025,Causeway,1,10,09/10/2025,10,58.55,0,58.55,56.19,
09/02/2025,Causeway,2,10,09/10/2025,10,55.61,0,55.61,,
09/02/2025,Causeway,3,10,09/10/2025,10,54.42,0,54.42,,
09/02/2025,Bells,1,10,09/10/2025,10,26.01,0,26.01,25.91,
09/02/2025,Bells,2,10,09/10/2025,10,26.18,0,26.18,,
09/02/2025,Bells,3,10,09/10/2025,10,25.55,0,25.55,,
09/09/2025,Muddy Creek,1,10,09/19/2025,10,1.7,0,1.70,55.30,
09/09/2025,Muddy Creek,2,10,09/19/2025,10,82.14,0,82.14,,
09/09/2025,Muddy Creek,3,10,09/19/2025,10,82.06,0,82.06,,
09/09/2025,ODNR_4,1,10,09/19/2025,10,57.73,0,57.73,57.32,
09/09/2025,ODNR_4,2,10,09/19/2025,10,59.19,0,59.19,,
09/09/2025,ODNR_4,3,10,09/19/2025,10,55.04,0,55.04,,
09/09/2025,ODNR_6,1,10,09/19/2025,10,71.4,0,71.40,70.12,
09/09/2025,ODNR_6,2,10,09/19/2025,10,72.32,0,72.32,,
09/09/2025,ODNR_6,3,10,09/19/2025,10,66.65,0,66.65,,
09/09/2025,Bridge,1,10,09/19/2025,10,65.42,0,65.42,56.66,
09/09/2025,Bridge,2,10,09/19/2025,10,49.34,0,49.34,,
09/09/2025,Bridge,3,10,09/19/2025,10,55.23,0,55.23,,
09/09/2025,ODNR_2,1,10,09/19/2025,10,1.18,0,1.18,36.75,
09/09/2025,ODNR_2,2,10,09/19/2025,10,54.42,0,54.42,,
09/09/2025,ODNR_2,3,10,09/19/2025,10,54.65,0,54.65,,
09/09/2025,Buoy_2,1,10,09/19/2025,10,3.69,0,3.69,14.68,
09/09/2025,Buoy_2,2,10,09/19/2025,10,39.37,0,39.37,,
09/09/2025,Buoy_2,3,10,09/19/2025,10,0.99,0,0.99,,
09/09/2025,ODNR_1,1,10,09/19/2025,10,34.72,0,34.72,23.83,
09/09/2025,ODNR_1,2,10,09/19/2025,10,33.48,0,33.48,,
09/09/2025,ODNR_1,3,10,09/19/2025,10,3.3,0,3.30,,
09/09/2025,EC_1163,1,10,09/19/2025,10,31.5,0,31.50,20.77,
09/09/2025,EC_1163,2,10,09/19/2025,10,1.61,0,1.61,,
09/09/2025,EC_1163,3,10,09/19/2025,10,29.2,0,29.20,,
09/09/2025,Causeway,1,10,09/19/2025,10,47.42,0,47.42,35.54,
09/09/2025,Causeway,2,10,09/19/2025,10,3.31,0,3.31,,
09/09/2025,Causeway,3,10,09/19/2025,10,55.88,0,55.88,,
09/09/2025,Bells,1,10,09/19/2025,10,24.56,0,24.56,23.11,
09/09/2025,Bells,2,10,09/19/2025,10,22.49,0,22.49,,
09/09/2025,Bells,3,10,09/19/2025,10,22.27,0,22.27,,
09/16/2025,Muddy Creek,1,10,01/21/2026,10,70.38,0,70.38,67.87,
09/16/2025,Muddy Creek,2,10,01/21/2026,10,63.63,0,63.63,,
09/16/2025,Muddy Creek,3,10,01/21/2026,10,69.6,0,69.60,,
09/16/2025,ODNR_4,1,10,01/21/2026,10,69.41,0,69.41,65.13,
09/16/2025,ODNR_4,2,10,01/21/2026,10,57.91,0,57.91,,
09/16/2025,ODNR_4,3,10,01/21/2026,10,68.06,0,68.06,,
09/16/2025,ODNR_6,1,10,01/21/2026,10,45.56,0,45.56,45.85,
09/16/2025,ODNR_6,2,10,01/21/2026,10,47.67,0,47.67,,
09/16/2025,ODNR_6,3,10,01/21/2026,10,44.31,0,44.31,,
09/16/2025,Bridge,1,10,01/21/2026,10,47.48,0,47.48,47.81,
09/16/2025,Bridge,2,10,01/21/2026,10,48.27,0,48.27,,
09/16/2025,Bridge,3,10,01/21/2026,10,47.67,0,47.67,,
09/16/2025,ODNR_2,1,10,01/21/2026,10,80.68,0,80.68,76.26,
09/16/2025,ODNR_2,2,10,01/21/2026,10,74.49,0,74.49,,
09/16/2025,ODNR_2,3,10,01/21/2026,10,73.6,0,73.60,,
09/16/2025,Buoy_2,1,10,01/21/2026,10,NA,0,NA,39.99,
09/16/2025,Buoy_2,2,10,01/21/2026,10,42.35,0,42.35,,
09/16/2025,Buoy_2,3,10,01/21/2026,10,37.63,0,37.63,,
09/16/2025,ODNR_1,1,10,01/21/2026,10,37.55,0,37.55,39.30,
09/16/2025,ODNR_1,2,10,01/21/2026,10,41.05,0,41.05,,
09/16/2025,ODNR_1,3,10,01/21/2026,10,NA,0,NA,,
09/16/2025,EC_1163,1,10,01/21/2026,10,30.35,0,30.35,37.59,
09/16/2025,EC_1163,2,10,01/21/2026,10,42.4,0,42.40,,
09/16/2025,EC_1163,3,10,01/21/2026,10,40.03,0,40.03,,
09/16/2025,Causeway,1,10,01/21/2026,10,34.47,0,34.47,36.76,
09/16/2025,Causeway,2,10,01/21/2026,10,41.12,0,41.12,,
09/16/2025,Causeway,3,10,01/21/2026,10,34.7,0,34.70,,
,Bells,1,10,,10,NA ,0,NA,NA,
,Bells,2,10,,10,NA ,0,NA,,
,Bells,3,10,,10,NA ,0,NA,,
