sample,date,type,analytical_rep,sample_conc,df,final_conc (ug/L),average (ug/L),comments
ODNR 2 Dissolved Toxins 7/22/25,07/22/2025,Dissolved,2,0.28,1,0.28,0.29,
Bouy 2 Total Toxins 7/22/25,07/22/2025,Total,1,1.12,1,1.12,,
Bouy 2 Total Toxins 7/22/25,07/22/2025,Total,2,1.25,1,1.25,1.18,
Bouy 2 Dissolved Toxins 7/22/25,07/22/2025,Dissolved,1,0.35,1,0.35,,
Bouy 2 Dissolved Toxins 7/22/25,07/22/2025,Dissolved,2,0.34,1,0.34,0.34,
ODNR 1 Total Toxins 7/22/25,07/22/2025,Total,1,2.42,1,2.42,,
ODNR 1 Total Toxins 7/22/25,07/22/2025,Total,2,2.51,1,2.51,2.46,
ODNR 1 Dissolved Toxins 7/22/25,07/22/2025,Dissolved,1,0.23,1,0.23,,
ODNR 1 Dissolved Toxins 7/22/25,07/22/2025,Dissolved,2,0.23,1,0.23,0.23,
EC 1163 Total Toxins 7/22/25,07/22/2025,Total,1,0.97,1,0.97,,
EC 1163 Total Toxins 7/22/25,07/22/2025,Total,2,0.76,1,0.76,0.87,
EC 1163 Dissolved Toxins 7/22/25,07/22/2025,Dissolved,1,0.18,1,0.18,,
EC 1163 Dissolved Toxins 7/22/25,07/22/2025,Dissolved,2,0.27,1,0.27,0.23,
Causeway Total Toxins 7/22/25,07/22/2025,Total,1,1.04,1,1.04,,
Causeway Total Toxins 7/22/25,07/22/2025,Total,2,1.28,1,1.28,1.16,
Causeway Dissolved Toxins 7/22/25,07/22/2025,Dissolved,1,0.29,1,0.29,,
Causeway Dissolved Toxins 7/22/25,07/22/2025,Dissolved,2,0.28,1,0.28,0.29,
Bells Total Toxins 7/22/25,07/22/2025,Total,1,0.21,1,0.21,,
Bells Total Toxins 7/22/25,07/22/2025,Total,2,0.17,1,0.17,0.19,
Bells Dissolved Toxins 7/22/25,07/22/2025,Dissolved,1,0.23,1,0.23,,
Bells Dissolved Toxins 7/22/25,07/22/2025,Dissolved,2,0.14,1,0.14,0.19,
Bridge Total Toxins 7/23/25,07/23/2025,Total,1,1.66,1,1.66,,
Bridge Total Toxins 7/23/25,07/23/2025,Total,2,2.25,1,2.25,1.95,
Bridge Total Toxins-2 7/23/25,07/23/2025,Total,1,4.19,1,4.19,,
Bridge Total Toxins-2 7/23/25,07/23/2025,Total,2,3.63,1,3.63,3.91,
Bouy 2 Total Toxins 7/23/25,07/23/2025,Total,1,0.75,1,0.75,,
Bouy 2 Total Toxins 7/23/25,07/23/2025,Total,2,0.63,1,0.63,0.69,
Bouy 2 Total Toxins-2 7/23/25,07/23/2025,Total,1,0.79,1,0.79,,
Bouy 2 Total Toxins-2 7/23/25,07/23/2025,Total,2,0.81,1,0.81,0.8,
Muddy Creek Total Toxins 7/29/25,07/29/2025,Total,1,0.13,1,0.13,,"LESS than Standard 1, outside of quantifiable range"
Muddy Creek Total Toxins 7/29/25,07/29/2025,Total,2,0.13,1,0.13,0.13,
Muddy Creek Dissolved Toxins 7/29/25,07/29/2025,Dissolved,1,0.12,1,0.12,,"LESS than Standard 1, outside of quantifiable range"
Muddy Creek Dissolved Toxins 7/29/25,07/29/2025,Dissolved,2,0.06,1,0.06,0.09,
ODNR 4 Total Toxins 7/29/25,07/29/2025,Total,1,1.26,1,1.26,,
ODNR 4 Total Toxins 7/29/25,07/29/2025,Total,2,1.53,1,1.53,1.39,
ODNR 4 Dissolved Toxins 7/29/25,07/29/2025,Dissolved,1,0.2,1,0.2,,
ODNR 4 Dissolved Toxins 7/29/25,07/29/2025,Dissolved,2,0.16,1,0.16,0.18,
ODNR 6 Total Toxins 7/29/25,07/29/2025,Total,1,0.22,1,0.22,,
ODNR 6 Total Toxins 7/29/25,07/29/2025,Total,2,0.16,1,0.16,0.19,
ODNR 6 Dissolved Toxins 7/29/25,07/29/2025,Dissolved,1,1.3,1,1.3,,
ODNR 6 Dissolved Toxins 7/29/25,07/29/2025,Dissolved,2,1.2,1,1.2,1.25,
Bridge Total Toxins 7/29/25,07/29/2025,Total,1,1.41,1,1.41,,
Bridge Total Toxins 7/29/25,07/29/2025,Total,2,Invalid,1,Error,1.41,
ODNR 2 Total Toxins 7/29/25,07/29/2025,Total,1,0.51,1,0.51,,
ODNR 2 Total Toxins 7/29/25,07/29/2025,Total,2,0.53,1,0.53,0.52,
ODNR 2 Dissolved Toxins 7/29/25,07/29/2025,Dissolved,1,0.14,1,0.14,,"LESS than Standard 1, outside of quantifiable range"
ODNR 2 Dissolved Toxins 7/29/25,07/29/2025,Dissolved,2,0.12,1,0.12,0.13,
Bouy 2 Dissolved Toxins 7/29/25,07/29/2025,Dissolved,1,0.22,1,0.22,,
Bouy 2 Dissolved Toxins 7/29/25,07/29/2025,Dissolved,2,0.26,1,0.26,0.24,
ODNR 1 Dissolved Toxins 7/29/25,07/29/2025,Dissolved,1,0.17,1,0.17,,
ODNR 1 Dissolved Toxins 7/29/25,07/29/2025,Dissolved,2,0.21,1,0.21,0.19,
EC 1163 Total Toxins 7/29/25,07/29/2025,Total,1,0.57,1,0.57,,
EC 1163 Total Toxins 7/29/25,07/29/2025,Total,2,0.86,1,0.86,0.71,
EC 1163 Dissolved Toxins 7/29/25,07/29/2025,Dissolved,1,0.41,1,0.41,,
EC 1163 Dissolved Toxins 7/29/25,07/29/2025,Dissolved,2,0.27,1,0.27,0.34,
Causeway Total Toxins 7/29/25,07/29/2025,Total,1,0.39,1,0.39,,
Causeway Total Toxins 7/29/25,07/29/2025,Total,2,0.44,1,0.44,0.42,
Causeway Dissolved Toxins 7/29/25,07/29/2025,Dissolved,1,0.15,1,0.15,,
Causeway Dissolved Toxins 7/29/25,07/29/2025,Dissolved,2,0.17,1,0.17,0.16,
Bells Dissolved Toxins 7/29/25,07/29/2025,Dissolved,1,0.07,1,0.07,,"LESS than Standard 1, outside of quantifiable range"
Bells Dissolved Toxins 7/29/25,07/29/2025,Dissolved,2,0.12,1,0.12,0.09,
Muddy Creek Total Toxins 8/5/25,08/05/2025,Total,1,0.17,1,0.17,,
Muddy Creek Total Toxins 8/5/25,08/05/2025,Total,2,0.19,1,0.19,0.18,
Muddy Creek Dissolved Toxins 8/5/25,08/05/2025,Dissolved,1,0.14,1,0.14,,"LESS than Standard 1, outside of quantifiable range"
Muddy Creek Dissolved Toxins 8/5/25,08/05/2025,Dissolved,2,0.13,1,0.13,0.14,
ODNR 4 Total Toxins 8/5/25,08/05/2025,Total,1,0.32,1,0.32,,
ODNR 4 Total Toxins 8/5/25,08/05/2025,Total,2,0.48,1,0.48,0.4,
ODNR 4 Dissolved Toxins 8/5/25,08/05/2025,Dissolved,1,0.15,1,0.15,,
ODNR 4 Dissolved Toxins 8/5/25,08/05/2025,Dissolved,2,0.16,1,0.16,0.15,
ODNR 6 Total Toxins 8/5/25,08/05/2025,Total,1,1.94,1,1.94,,
ODNR 6 Total Toxins 8/5/25,08/05/2025,Total,2,1.44,1,1.44,1.69,
ODNR 6 Dissolved Toxins 8/5/25,08/05/2025,Dissolved,1,0.21,1,0.21,,
ODNR 6 Dissolved Toxins 8/5/25,08/05/2025,Dissolved,2,0.23,1,0.23,0.22,
Bridge Total Toxins 8/5/25,08/05/2025,Total,1,1.14,1,1.14,,
Bridge Total Toxins 8/5/25,08/05/2025,Total,2,1.35,1,1.35,1.25,
Bridge Dissolved Toxins 8/5/25,08/05/2025,Dissolved,1,0.28,1,0.28,,
Bridge Dissolved Toxins 8/5/25,08/05/2025,Dissolved,2,0.27,1,0.27,0.27,
ODNR 2 Total Toxins 8/5/25,08/05/2025,Total,1,1.28,1,1.28,,
ODNR 2 Total Toxins 8/5/25,08/05/2025,Total,2,1.16,1,1.16,1.22,
ODNR 2 Dissolved Toxins 8/5/25,08/05/2025,Dissolved,1,0.18,1,0.18,,
ODNR 2 Dissolved Toxins 8/5/25,08/05/2025,Dissolved,2,0.14,1,0.14,0.16,
EC 1163 Total Toxins 8/5/25,08/05/2025,Total,1,0.77,1,0.77,,
EC 1163 Total Toxins 8/5/25,08/05/2025,Total,2,0.9,1,0.9,0.83,
EC 1163 Dissolved Toxins 8/5/25,08/05/2025,Dissolved,1,0.19,1,0.19,,
EC 1163 Dissolved Toxins 8/5/25,08/05/2025,Dissolved,2,0.26,1,0.26,0.22,
Causeway Total Toxins 8/5/25,08/05/2025,Total,1,0.34,1,0.34,,
Causeway Total Toxins 8/5/25,08/05/2025,Total,2,0.28,1,0.28,0.31,
Causeway Dissolved Toxins 8/5/25,08/05/2025,Dissolved,1,Invalid,1,Error,,"LESS than Standard 1, outside of quantifiable range"
Causeway Dissolved Toxins 8/5/25,08/05/2025,Dissolved,2,0.19,1,0.19,0.19,
Bells Total Toxins 8/5/25,08/05/2025,Total,1,0.34,1,0.34,,
Bells Total Toxins 8/5/25,08/05/2025,Total,2,0.2,1,0.2,0.27,
Bells Dissolved Toxins 8/5/25,08/05/2025,Dissolved,3,Invalid,1,Error,,"LESS than Standard 1, outside of quantifiable range"
Bells Dissolved Toxins 8/5/25,08/05/2025,Dissolved,4,Invalid,1,Error,Error,
Muddy Creek Total Toxins 8/12/25,08/12/2025,Total,1,0.38,1,0.38,,
Muddy Creek Total Toxins 8/12/25,08/12/2025,Total,2,0.18,1,0.18,0.28,
Muddy Creek Dissolved Toxins 8/12/25,08/12/2025,Dissolved,1,0.41,1,0.41,,
Muddy Creek Dissolved Toxins 8/12/25,08/12/2025,Dissolved,2,0.29,1,0.29,0.35,
ODNR 4 Total Toxins 8/12/25,08/12/2025,Total,1,1.26,1,1.26,,
ODNR 4 Total Toxins 8/12/25,08/12/2025,Total,2,1.22,1,1.22,1.24,
ODNR 4 Dissolved Toxins 8/12/25,08/12/2025,Dissolved,1,0.12,1,0.12,,
ODNR 4 Dissolved Toxins 8/12/25,08/12/2025,Dissolved,2,0.26,1,0.26,0.19,
ODNR 6 Total Toxins 8/12/25,08/12/2025,Total,1,1.84,1,1.84,,
ODNR 6 Total Toxins 8/12/25,08/12/2025,Total,2,1.02,1,1.02,1.43,
ODNR 6 Dissolved Toxins 8/12/25,08/12/2025,Dissolved,1,0.18,1,0.18,,
ODNR 6 Dissolved Toxins 8/12/25,08/12/2025,Dissolved,2,0.22,1,0.22,0.2,
Bridge Total Toxins 8/12/25,08/12/2025,Total,1,1.07,1,1.07,,
Bridge Total Toxins 8/12/25,08/12/2025,Total,2,1.06,1,1.06,1.06,
Bridge Dissolved Toxins 8/12/25,08/12/2025,Dissolved,1,0.18,1,0.18,,"LESS than Standard 1, outside of quantifiable range"
Bridge Dissolved Toxins 8/12/25,08/12/2025,Dissolved,2,Invalid,1,Error,0.18,
ODNR 2 Total Toxins 8/12/25,08/12/2025,Total,1,0.98,1,0.98,,
ODNR 2 Total Toxins 8/12/25,08/12/2025,Total,2,0.71,1,0.71,0.85,
ODNR 2 Dissolved Toxins 8/12/25,08/12/2025,Dissolved,1,0.11,1,0.11,,"LESS than Standard 1, outside of quantifiable range"
ODNR 2 Dissolved Toxins 8/12/25,08/12/2025,Dissolved,2,0.12,1,0.12,0.11,
Bouy 2 Total Toxins 8/12/25,08/12/2025,Total,1,0.69,1,0.69,,
Bouy 2 Total Toxins 8/12/25,08/12/2025,Total,2,0.72,1,0.72,0.71,
Bouy 2 Dissolved Toxins 8/12/25,08/12/2025,Dissolved,1,0.21,1,0.21,,"LESS than Standard 1, outside of quantifiable range"
Bouy 2 Dissolved Toxins 8/12/25,08/12/2025,Dissolved,2,Invalid,1,Error,0.21,
ODNR 1 Total Toxins 8/12/25,08/12/2025,Total,1,1.09,1,1.09,,
ODNR 1 Total Toxins 8/12/25,08/12/2025,Total,2,0.62,1,0.62,0.85,
ODNR 1 Dissolved Toxins 8/12/25,08/12/2025,Dissolved,1,0.07,1,0.07,,"LESS than Standard 1, outside of quantifiable range"
ODNR 1 Dissolved Toxins 8/12/25,08/12/2025,Dissolved,2,0.13,1,0.13,0.1,
EC 1163 Total Toxins 8/12/25,08/12/2025,Total,1,0.12,1,0.12,,
EC 1163 Total Toxins 8/12/25,08/12/2025,Total,2,0.5,1,0.5,0.31,
EC 1163 Dissolved Toxins 8/12/25,08/12/2025,Dissolved,1,0.08,1,0.08,,"LESS than Standard 1, outside of quantifiable range"
EC 1163 Dissolved Toxins 8/12/25,08/12/2025,Dissolved,2,Invalid,1,Error,0.08,
Causeway Total Toxins 8/12/25,08/12/2025,Total,1,1.03,1,1.03,,
Causeway Total Toxins 8/12/25,08/12/2025,Total,2,0.5,1,0.5,0.77,
Causeway Dissolved Toxins 8/12/25,08/12/2025,Dissolved,1,0.08,1,0.08,,"LESS than Standard 1, outside of quantifiable range"
Causeway Dissolved Toxins 8/12/25,08/12/2025,Dissolved,2,Invalid,1,Error,0.08,
Bells Total Toxins 8/12/25,08/12/2025,Total,1,0.12,1,0.12,,"LESS than Standard 1, outside of quantifiable range"
Bells Total Toxins 8/12/25,08/12/2025,Total,2,0.1,1,0.1,0.11,
Bells Dissolved Toxins 8/12/25,08/12/2025,Dissolved,1,Invalid,1,Error,,"LESS than Standard 1, outside of quantifiable range"
Bells Dissolved Toxins 8/12/25,08/12/2025,Dissolved,2,0.11,1,0.11,0.11,
Muddy Creek Total Toxins 8/20/25,08/20/2025,Total,1,0.22,1,0.22,,
Muddy Creek Total Toxins 8/20/25,08/20/2025,Total,2,0.17,1,0.17,0.2,
Muddy Creek Dissolved Toxins 8/20/25,08/20/2025,Dissolved,1,0.03,1,0.03,,"LESS than Standard 1, outside of quantifiable range"
Muddy Creek Dissolved Toxins 8/20/25,08/20/2025,Dissolved,2,0.15,1,0.15,0.09,
ODNR 4 Total Toxins 8/20/25,08/20/2025,Total,1,0.67,1,0.67,,
ODNR 4 Total Toxins 8/20/25,08/20/2025,Total,2,0.83,1,0.83,0.75,
ODNR 4 Dissolved Toxins 8/20/25,08/20/2025,Dissolved,1,Invalid,1,Error,,"LESS than Standard 1, outside of quantifiable range"
ODNR 4 Dissolved Toxins 8/20/25,08/20/2025,Dissolved,2,0.19,1,0.19,0.19,
ODNR 6 Total Toxins 8/20/25,08/20/2025,Total,1,1.42,1,1.42,,
ODNR 6 Total Toxins 8/20/25,08/20/2025,Total,2,0.9,1,0.9,1.16,
ODNR 6 Dissolved Toxins 8/20/25,08/20/2025,Dissolved,1,0.12,1,0.12,,"LESS than Standard 1, outside of quantifiable range"
ODNR 6 Dissolved Toxins 8/20/25,08/20/2025,Dissolved,2,0.06,1,0.06,0.09,
Bridge Total Toxins 8/20/25,08/20/2025,Total,1,0.55,1,0.55,,
Bridge Total Toxins 8/20/25,08/20/2025,Total,2,0.74,1,0.74,0.65,
Bridge Dissolved Toxins 8/20/25,08/20/2025,Dissolved,1,Invalid,1,Error,,"LESS than Standard 1, outside of quantifiable range"
Bridge Dissolved Toxins 8/20/25,08/20/2025,Dissolved,2,Invalid,1,Error,Error,
ODNR 2 Total Toxins 8/20/25,08/20/2025,Total,1,0.78,1,0.78,,
ODNR 2 Total Toxins 8/20/25,08/20/2025,Total,2,0.59,1,0.59,0.69,
ODNR 2 Dissolved Toxins 8/20/25,08/20/2025,Dissolved,1,Invalid,1,Error,,"LESS than Standard 1, outside of quantifiable range"
ODNR 2 Dissolved Toxins 8/20/25,08/20/2025,Dissolved,2,Invalid,1,Error,Error,
Bouy 2 Total Toxins 8/20/25,08/20/2025,Total,1,0.75,1,0.75,,
Bouy 2 Total Toxins 8/20/25,08/20/2025,Total,2,0.52,1,0.52,0.64,
Bouy 2 Dissolved Toxins 8/20/25,08/20/2025,Dissolved,1,Invalid,1,Error,,"LESS than Standard 1, outside of quantifiable range"
Bouy 2 Dissolved Toxins 8/20/25,08/20/2025,Dissolved,2,Invalid,1,Error,Error,
ODNR 1 Total Toxins 8/20/25,08/20/2025,Total,1,0.95,1,0.95,,
ODNR 1 Total Toxins 8/20/25,08/20/2025,Total,2,0.63,1,0.63,0.79,
ODNR 1 Dissolved Toxins 8/20/25,08/20/2025,Dissolved,1,0.06,1,0.06,,"LESS than Standard 1, outside of quantifiable range"
ODNR 1 Dissolved Toxins 8/20/25,08/20/2025,Dissolved,2,0.09,1,0.09,0.07,
EC 1163 Total Toxins 8/20/25,08/20/2025,Total,1,0.18,1,0.18,,
EC 1163 Total Toxins 8/20/25,08/20/2025,Total,2,0.15,1,0.15,0.16,
EC 1163 Dissolved Toxins 8/20/25,08/20/2025,Dissolved,3,0.08,1,0.08,,"LESS than Standard 1, outside of quantifiable range"
EC 1163 Dissolved Toxins 8/20/25,08/20/2025,Dissolved,4,0.14,1,0.14,0.11,
Causeway Total Toxins 8/20/25,08/20/2025,Total,1,0.74,1,0.74,,
Causeway Total Toxins 8/20/25,08/20/2025,Total,2,0.46,1,0.46,0.6,
Causeway Dissolved Toxins 8/20/25,08/20/2025,Dissolved,1,0.01,1,0.01,,"LESS than Standard 1, outside of quantifiable range"
Causeway Dissolved Toxins 8/20/25,08/20/2025,Dissolved,2,0.04,1,0.04,0.03,
Muddy Creek Total Toxins 8/26/25,08/26/2025,Total,1,0.1,1,0.1,,"LESS than Standard 1, outside of quantifiable range"
Muddy Creek Total Toxins 8/26/25,08/26/2025,Total,2,0.14,1,0.14,0.12,
Muddy Creek Dissolved Toxins 8/26/25,08/26/2025,Dissolved,1,0.08,1,0.08,,"LESS than Standard 1, outside of quantifiable range"
Muddy Creek Dissolved Toxins 8/26/25,08/26/2025,Dissolved,2,0.05,1,0.05,0.06,
ODNR 4 Total Toxins 8/26/25,08/26/2025,Total,1,0.7,1,0.7,,
ODNR 4 Total Toxins 8/26/25,08/26/2025,Total,2,0.78,1,0.78,0.74,
ODNR 4 Dissolved Toxins 8/26/25,08/26/2025,Dissolved,1,0.19,1,0.19,,
ODNR 4 Dissolved Toxins 8/26/25,08/26/2025,Dissolved,2,0.23,1,0.23,0.21,
ODNR 6 Total Toxins 8/26/25,08/26/2025,Total,1,0.88,1,0.88,,
ODNR 6 Total Toxins 8/26/25,08/26/2025,Total,2,0.9,1,0.9,0.89,
ODNR 6 Dissolved Toxins 8/26/25,08/26/2025,Dissolved,1,0.16,1,0.16,,"LESS than Standard 1, outside of quantifiable range"
ODNR 6 Dissolved Toxins 8/26/25,08/26/2025,Dissolved,2,0.09,1,0.09,0.12,
Bridge Total Toxins 8/26/25,08/26/2025,Total,1,0.69,1,0.69,,
Bridge Total Toxins 8/26/25,08/26/2025,Total,2,0.64,1,0.64,0.67,
Bridge Dissolved Toxins 8/26/25,08/26/2025,Dissolved,1,0.19,1,0.19,,
Bridge Dissolved Toxins 8/26/25,08/26/2025,Dissolved,2,0.36,1,0.36,0.27,
ODNR 2 Total Toxins 8/26/25,08/26/2025,Total,1,0.62,1,0.62,,
ODNR 2 Total Toxins 8/26/25,08/26/2025,Total,2,0.69,1,0.69,0.66,
ODNR 2 Dissolved Toxins 8/26/25,08/26/2025,Dissolved,1,0.11,1,0.11,,"LESS than Standard 1, outside of quantifiable range"
ODNR 2 Dissolved Toxins 8/26/25,08/26/2025,Dissolved,2,0.1,1,0.1,0.11,
Bouy 2 Total Toxins 8/26/25,08/26/2025,Total,1,0.59,1,0.59,,
Bouy 2 Total Toxins 8/26/25,08/26/2025,Total,2,0.61,1,0.61,0.6,
Bouy 2 Dissolved Toxins 8/26/25,08/26/2025,Dissolved,1,0.11,1,0.11,,"LESS than Standard 1, outside of quantifiable range"
Bouy 2 Dissolved Toxins 8/26/25,08/26/2025,Dissolved,2,0.1,1,0.1,0.11,
ODNR 1 Total Toxins 8/26/25,08/26/2025,Total,1,0.78,1,0.78,,
ODNR 1 Total Toxins 8/26/25,08/26/2025,Total,2,0.76,1,0.76,0.77,
ODNR 1 Dissolved Toxins 8/26/25,08/26/2025,Dissolved,1,0.17,1,0.17,,
ODNR 1 Dissolved Toxins 8/26/25,08/26/2025,Dissolved,2,0.22,1,0.22,0.19,
EC 1163 Total Toxins 8/26/25,08/26/2025,Total,1,0.38,1,0.38,,
EC 1163 Total Toxins 8/26/25,08/26/2025,Total,2,0.28,1,0.28,0.33,
EC 1163 Dissolved Toxins 8/26/25,08/26/2025,Dissolved,1,0.16,1,0.16,,
EC 1163 Dissolved Toxins 8/26/25,08/26/2025,Dissolved,2,0.21,1,0.21,0.18,
Causeway Total Toxins 8/26/25,08/26/2025,Total,1,0.41,1,0.41,,
Causeway Total Toxins 8/26/25,08/26/2025,Total,2,0.33,1,0.33,0.37,
Causeway Dissolved Toxins 8/26/25,08/26/2025,Dissolved,1,0.07,1,0.07,,"LESS than Standard 1, outside of quantifiable range"
Causeway Dissolved Toxins 8/26/25,08/26/2025,Dissolved,2,0.04,1,0.04,0.06,
Muddy Creek Total Toxins 9/2/25,09/02/2025,Total,1,0.17,1,0.17,,
Muddy Creek Total Toxins 9/2/25,09/02/2025,Total,2,0.19,1,0.19,0.18,
Muddy Creek Dissolved Toxins 9/2/25,09/02/2025,Dissolved,1,0.11,1,0.11,,"LESS than Standard 1, outside of quantifiable range"
Muddy Creek Dissolved Toxins 9/2/25,09/02/2025,Dissolved,2,0.15,1,0.15,0.13,
ODNR 4 Total Toxins 9/2/25,09/02/2025,Total,1,0.68,1,0.68,,
ODNR 4 Total Toxins 9/2/25,09/02/2025,Total,2,0.63,1,0.63,0.66,
ODNR 4 Dissolved Toxins 9/2/25,09/02/2025,Dissolved,1,0.25,1,0.25,,
ODNR 4 Dissolved Toxins 9/2/25,09/02/2025,Dissolved,2,0.21,1,0.21,0.23,
ODNR 6 Total Toxins 9/2/25,09/02/2025,Total,1,0.6,1,0.6,,
ODNR 6 Total Toxins 9/2/25,09/02/2025,Total,2,0.57,1,0.57,0.59,
ODNR 6 Dissolved Toxins 9/2/25,09/02/2025,Dissolved,1,0.16,1,0.16,,
ODNR 6 Dissolved Toxins 9/2/25,09/02/2025,Dissolved,2,0.19,1,0.19,0.18,
Bridge Total Toxins 9/2/25,09/02/2025,Total,1,0.49,1,0.49,,
Bridge Total Toxins 9/2/25,09/02/2025,Total,2,0.45,1,0.45,0.47,
Bridge Dissolved Toxins 9/2/25,09/02/2025,Dissolved,1,0.13,1,0.13,,"LESS than Standard 1, outside of quantifiable range"
Bridge Dissolved Toxins 9/2/25,09/02/2025,Dissolved,2,0.14,1,0.14,0.14,
ODNR 2 Total Toxins 9/2/25,09/02/2025,Total,1,0.39,1,0.39,,
ODNR 2 Total Toxins 9/2/25,09/02/2025,Total,2,0.49,1,0.49,0.44,
ODNR 2 Dissolved Toxins 9/2/25,09/02/2025,Dissolved,1,0.15,1,0.15,,"LESS than Standard 1, outside of quantifiable range"
ODNR 2 Dissolved Toxins 9/2/25,09/02/2025,Dissolved,2,0.14,1,0.14,0.14,
Bouy 2 Total Toxins 9/2/25,09/02/2025,Total,1,0.34,1,0.34,,
Bouy 2 Total Toxins 9/2/25,09/02/2025,Total,2,0.32,1,0.32,0.33,
Bouy 2 Dissolved Toxins 9/2/25,09/02/2025,Dissolved,1,0.11,1,0.11,,"LESS than Standard 1, outside of quantifiable range"
Bouy 2 Dissolved Toxins 9/2/25,09/02/2025,Dissolved,2,0.19,1,0.19,0.15,
ODNR 1 Total Toxins 9/2/25,09/02/2025,Total,1,0.17,1,0.17,,
ODNR 1 Total Toxins 9/2/25,09/02/2025,Total,2,0.23,1,0.23,0.2,
ODNR 1 Dissolved Toxins 9/2/25,09/02/2025,Dissolved,1,0.01,1,0.01,,"LESS than Standard 1, outside of quantifiable range"
ODNR 1 Dissolved Toxins 9/2/25,09/02/2025,Dissolved,2,Invalid,1,Error,0.01,
EC 1163 Total Toxins 9/2/25,09/02/2025,Total,1,0.28,1,0.28,,
EC 1163 Total Toxins 9/2/25,09/02/2025,Total,2,0.23,1,0.23,0.25,
EC 1163 Dissolved Toxins 9/2/25,09/02/2025,Dissolved,1,0.07,1,0.07,,"LESS than Standard 1, outside of quantifiable range"
EC 1163 Dissolved Toxins 9/2/25,09/02/2025,Dissolved,2,0.03,1,0.03,0.05,
Causeway Total Toxins 9/2/25,09/02/2025,Total,1,0.17,1,0.17,,
Causeway Total Toxins 9/2/25,09/02/2025,Total,2,0.25,1,0.25,0.21,
Causeway Dissolved Toxins 9/2/25,09/02/2025,Dissolved,1,0.03,1,0.03,,"LESS than Standard 1, outside of quantifiable range"
Causeway Dissolved Toxins 9/2/25,09/02/2025,Dissolved,2,0.05,1,0.05,0.04,
Bells Total Toxins 9/2/25,09/02/2025,Total,1,0.12,1,0.12,,"LESS than Standard 1, outside of quantifiable range"
Bells Total Toxins 9/2/25,09/02/2025,Total,2,0.06,1,0.06,0.09,
Bells Dissolved Toxins 9/2/25,09/02/2025,Dissolved,1,0.1,1,0.1,,"LESS than Standard 1, outside of quantifiable range"
Bells Dissolved Toxins 9/2/25,09/02/2025,Dissolved,2,0.06,1,0.06,0.08,
Muddy Creek Total Toxins 9/9/25,09/09/2025,Total,1,0.2,1,0.2,,
Muddy Creek Total Toxins 9/9/25,09/09/2025,Total,2,0.18,1,0.18,0.19,
Muddy Creek Dissolved Toxins 9/9/25,09/09/2025,Dissolved,1,0.07,1,0.07,,"LESS than Standard 1, outside of quantifiable range"
Muddy Creek Dissolved Toxins 9/9/25,09/09/2025,Dissolved,2,0.12,1,0.12,0.1,
ODNR 4 Total Toxins 9/9/25,09/09/2025,Total,1,0.42,1,0.42,,
ODNR 4 Total Toxins 9/9/25,09/09/2025,Total,2,0.51,1,0.51,0.47,
ODNR 4 Dissolved Toxins 9/9/25,09/09/2025,Dissolved,1,0.11,1,0.11,,"LESS than Standard 1, outside of quantifiable range"
ODNR 4 Dissolved Toxins 9/9/25,09/09/2025,Dissolved,2,0.18,1,0.18,0.15,
ODNR 6 Total Toxins 9/9/25,09/09/2025,Total,1,0.66,1,0.66,,
ODNR 6 Total Toxins 9/9/25,09/09/2025,Total,2,0.5,1,0.5,0.58,
ODNR 6 Dissolved Toxins 9/9/25,09/09/2025,Dissolved,1,0.13,1,0.13,,"LESS than Standard 1, outside of quantifiable range"
ODNR 6 Dissolved Toxins 9/9/25,09/09/2025,Dissolved,2,0.15,1,0.15,0.14,
Bridge Total Toxins 9/9/25,09/09/2025,Total,1,0.3,1,0.3,,
Bridge Total Toxins 9/9/25,09/09/2025,Total,2,0.32,1,0.32,0.31,
Bridge Dissolved Toxins 9/9/25,09/09/2025,Dissolved,1,0.05,1,0.05,,"LESS than Standard 1, outside of quantifiable range"
Bridge Dissolved Toxins 9/9/25,09/09/2025,Dissolved,2,0.06,1,0.06,0.06,
ODNR 2 Total Toxins 9/9/25,09/09/2025,Total,1,0.31,1,0.31,,
ODNR 2 Total Toxins 9/9/25,09/09/2025,Total,2,0.29,1,0.29,0.3,
ODNR 2 Dissolved Toxins 9/9/25,09/09/2025,Dissolved,1,0.09,1,0.09,,"LESS than Standard 1, outside of quantifiable range"
ODNR 2 Dissolved Toxins 9/9/25,09/09/2025,Dissolved,2,0.07,1,0.07,0.08,
Bouy 2 Total Toxins 9/9/25,09/09/2025,Total,1,0.33,1,0.33,,
Bouy 2 Total Toxins 9/9/25,09/09/2025,Total,2,0.18,1,0.18,0.26,
Bouy 2 Dissolved Toxins 9/9/25,09/09/2025,Dissolved,1,0.03,1,0.03,,"LESS than Standard 1, outside of quantifiable range"
Bouy 2 Dissolved Toxins 9/9/25,09/09/2025,Dissolved,2,0.08,1,0.08,0.06,
ODNR 1 Total Toxins 9/9/25,09/09/2025,Total,1,0.23,1,0.23,,
ODNR 1 Total Toxins 9/9/25,09/09/2025,Total,2,0.19,1,0.19,0.21,
ODNR 1 Dissolved Toxins 9/9/25,09/09/2025,Dissolved,1,0.07,1,0.07,,"LESS than Standard 1, outside of quantifiable range"
ODNR 1 Dissolved Toxins 9/9/25,09/09/2025,Dissolved,2,0.07,1,0.07,0.07,
